country,year,gdp_pcap (US dollars)
KAZ,2017,8943.084167919838
KAZ,2018,9472.485273277582
KAZ,2019,9457.126146571356
KAZ,2020,8781.507977876476
KAZ,2021,9983.601035769021
KAZ,2022,11255.339643788113
KAZ,2023,12879.427525797384
KAZ,2024,14005.348736234479
KEN,2012,1285.005361715117
KEN,2013,1370.8788521465926
KEN,2014,1482.8156625349743
KEN,2015,1489.1195977728398
KEN,2016,1554.1261031442327
KEN,2017,1667.4844723083543
KEN,2018,1836.4527552899294
KEN,2019,1960.408088548926
KEN,2020,1927.6645902784887
KEN,2021,2061.3562208959406
KEN,2022,2109.562885131375
KEN,2023,1952.3045792963608
KEN,2024,2206.1349785176008
KGZ,2012,1168.6224467544575
KGZ,2013,1269.6630346434772
KGZ,2014,1264.5266882389074
KGZ,2015,1105.6519384426072
KGZ,2016,1103.2748942841188
KGZ,2017,1221.3904680708185
KGZ,2018,1283.520303741702
KGZ,2019,1421.9992750410186
KGZ,2020,1229.517666029075
KGZ,2021,1349.9973065054235
KGZ,2022,1739.7201834417447
KGZ,2023,2138.22210211478
KGZ,2024,2419.265535745231
KHM,2012,1192.8026304167313
KHM,2013,1305.6600972685976
KHM,2014,1431.5639646999336
KHM,2015,1547.320104443935
KHM,2016,1675.1955571110864
KHM,2017,1826.353916887541
KHM,2018,2036.6737756657817
KHM,2019,2225.877054856862
KHM,2020,2081.7391424293914
KHM,2021,2167.403241984992
KHM,2022,2325.0305004084116
KHM,2023,2429.748534528382
KHM,2024,2627.8796974226007
KOR,2012,25459.16890009645
KOR,2013,27179.51701460517
KOR,2014,29252.931237735243
KOR,2015,28737.439170649883
KOR,2016,29280.440317004843
KOR,2017,31600.735874136455
KOR,2018,33447.15628361658
KOR,2019,31902.416904819416
KOR,2020,31721.298914185674
KOR,2021,35125.52249847225
KOR,2022,32394.683372520318
KOR,2023,33121.37128855084
KWT,2012,52155.222546047924
KWT,2013,49651.04397094482
KWT,2014,44368.781373043035
KWT,2015,29882.212686706844
KWT,2016,27323.689064384704
KWT,2017,29047.653582284198
KWT,2018,32067.96236895116
KWT,2019,31707.87374649174
KWT,2020,25236.075552053397
KWT,2021,34018.63428796473
KWT,2022,39981.769098195735
KWT,2023,34075.84904398466
KWT,2024,32213.862229231632
LAO,2012,1563.5650771336964
LAO,2013,1812.5177442465056
LAO,2014,1981.0391090047272
LAO,2015,2121.013390973629
LAO,2016,2303.2215603536265
LAO,2017,2432.4305947851135
LAO,2018,2545.1075420815
LAO,2019,2589.3208103523716
LAO,2020,2583.7773069613104
LAO,2021,2526.0510501852928
LAO,2022,2046.4044025562052
LAO,2023,2066.9497977695714
LAO,2024,2123.979094117969
LBN,2012,8406.984056081175
LBN,2013,8162.379293613964
LBN,2014,7577.641330236905
LBN,2015,7714.109999880404
LBN,2016,8089.012088155
LBN,2017,8608.21084982387
LBN,2018,9174.536662047589
LBN,2019,8905.880054974366
LBN,2020,5561.19166950397
LBN,2021,4045.3739106623375
LBN,2022,3654.358455348785
LBN,2023,3477.7248984268376
LBR,2012,638.3687514620826
LBR,2013,710.7445709278632
LBR,2014,706.7144900645072
LBR,2015,692.590082351257
LBR,2016,714.6130631456588
LBR,2017,699.2690957274035
LBR,2018,692.2031271297944
LBR,2019,658.1641807705065
LBR,2020,616.787867006715
LBR,2021,667.9661051431905
LBR,2022,744.617175237387
LBR,2023,799.1944702296419
LBR,2024,846.2773683873891
LBY,2012,14975.890279514448
LBY,2013,11951.713412601106
LBY,2014,8926.420745914742
LBY,2015,7458.489177563744
LBY,2016,7525.8029930821585
LBY,2017,9965.832367297568
LBY,2018,11196.585481084374
LBY,2019,9963.194890844828
LBY,2020,6650.338105853479
LBY,2021,4935.827873498015
LBY,2022,5986.636948512581
LBY,2023,6172.81246940233
LBY,2024,6318.403140310168
LKA,2012,3327.7761240432596
LKA,2013,3740.615893483262
LKA,2014,3971.919131481664
LKA,2015,4057.715834623104
LKA,2016,4149.191907755932
LKA,2017,4398.888280687147
LKA,2018,4358.560959060474
LKA,2019,4081.9477272200284
LKA,2020,3847.6013769563947
LKA,2021,3996.962400149092
LKA,2022,3342.636502538553
LKA,2023,3798.8901657301144
LKA,2024,4515.56787322732
LSO,2012,1217.9307122894418
LSO,2013,1151.0373583722674
LSO,2014,1173.5377928819003
LSO,2015,1121.1985134251822
LSO,2016,992.4918406784651
LSO,2017,1069.366732475424
LSO,2018,1170.6556970281936
LSO,2019,1082.0570677751584
LSO,2020,918.5825774219816
LSO,2021,1066.5864360009298
LSO,2022,1030.1257962883285
LSO,2023,916.2829704638878
LSO,2024,971.8146204687877
LTU,2012,14288.185349313851
LTU,2013,15636.525258604766
LTU,2014,16446.164718166307
LTU,2015,14269.803987828654
LTU,2016,14934.270284042841
LTU,2017,16800.151024609866
LTU,2018,19247.231536796684
LTU,2019,19608.794394555272
LTU,2020,20428.647815739412
LTU,2021,23870.459485172207
LTU,2022,25085.784063499046
LTU,2023,27786.005782927572
LTU,2024,29386.287835018662
LVA,2012,13329.349993127104
LVA,2013,14484.47152821325
LVA,2014,15185.81458123595
LVA,2015,13321.975314061563
LVA,2016,13838.526682327232
LVA,2017,15132.495833398172
LVA,2018,17252.171042862567
LVA,2019,17294.975160096918
LVA,2020,17564.232154935427
LVA,2021,20261.888778891633
LVA,2022,20227.230743158063
LVA,2023,22675.578629540683
LVA,2024,23367.598678896065
MAR,2012,3164.17724609375
MAR,2013,3379.7431640625
MAR,2014,3435.40698242188
MAR,2015,3146.24780273438
MAR,2016,3140.85546875
MAR,2017,3296.52661132813
MAR,2018,3501.69799804688
MAR,2019,3508.09765625
MAR,2020,3268.0302734375
MAR,2021,3785.93627929688
MAR,2022,3455.39624023438
MAR,2023,3771.4462890625
MAR,2024,3993.38745117188
MDG,2012,493.5111629042107
MDG,2013,515.3015893618319
MDG,2014,505.6849225034353
MDG,2015,445.32006948056755
MDG,2016,453.97071452246337
MDG,2017,491.8668487189288
MDG,2018,500.4571855291595
MDG,2019,499.8188376225341
MDG,2020,450.77161520150946
MDG,2021,483.4694633513706
MDG,2022,503.5145334728794
MDG,2023,508.7184277057355
MDG,2024,544.9973026931273
MLI,2012,878.2171753448575
MLI,2013,903.1904525123781
MLI,2014,940.243260037952
MLI,2015,838.1198694010295
MLI,2016,872.4685871716532
MLI,2017,924.0575316922835
MLI,2018,996.3792921369012
MLI,2019,971.9493186380917
MLI,2020,953.2429432909743
MLI,2021,1027.2734536535686
MLI,2022,969.7222056056203
MLI,2023,1035.862426284115
MLI,2024,1086.1762176779037
MMR,2012,1202.6658960055008
MMR,2013,1199.0956159705486
MMR,2014,1293.0004229868816
MMR,2015,1166.7330554633684
MMR,2016,1229.1971351589325
MMR,2017,1272.8224183060327
MMR,2018,1298.2131032078464
MMR,2019,1425.9895421190286
MMR,2020,1490.2168354836733
MMR,2021,1242.7213441959868
MMR,2022,1158.0500503433166
MMR,2023,1233.1966620926912
MMR,2024,1359.2596139413524
MNG,2012,4328.890019056554
MNG,2013,4340.143105444494
MNG,2014,4126.239758005238
MNG,2015,3838.921269899843
MNG,2016,3619.9002638379216
MNG,2017,3645.9670866955144
MNG,2018,4107.6428852846775
MNG,2019,4347.54610314873
MNG,2020,4001.251930777028
MNG,2021,4517.61578018785
MNG,2022,4993.514874634954
MNG,2023,5838.6310808390235
MNG,2024,6691.482098342281
MOZ,2012,685.6857481995128
MOZ,2013,686.505672517351
MOZ,2014,697.1426804441226
MOZ,2015,610.5637747065892
MOZ,2016,441.4897348190715
MOZ,2017,470.9385630519602
MOZ,2018,517.5072602581007
MOZ,2019,519.0925509136196
MOZ,2020,462.4338764799215
MOZ,2021,509.90782947555147
MOZ,2022,578.251663751351
MOZ,2023,622.9856193205957
MOZ,2024,647.2857995020698
MRT,2012,1859.1173324764088
MRT,2013,1934.2410306471409
MRT,2014,1713.008652642339
MRT,2015,1554.9489787178247
MRT,2016,1565.7657572269575
MRT,2017,1615.0040132732322
MRT,2018,1722.9352885407272
MRT,2019,1767.0727106209977
MRT,2020,1795.7645956671436
MRT,2021,1947.789183833133
MRT,2022,1960.352400774235
MRT,2023,2120.8231842174737
MRT,2024,2082.7837442371365
MUS,2012,9291.23627601053
MUS,2013,9764.644130600449
