country,year,mean_light,gdp_pcap (US dollars),population,land_area,urban_pop_rate
ESP,2015,0.2011851519346237,25982.44161977755,46422303.0,499661.0,79.602
ARM,2015,0.0690421909093856,3512.3935027670905,3004600.0,28470.0,63.085
LBY,2015,0.0858744904398918,7458.489177563744,6531819.0,1759540.0,79.27
TUN,2015,0.2520481944084167,4014.9477368643215,11402264.0,155360.0,68.056
ROU,2015,0.2744733393192291,8977.017481581965,19815616.0,230080.0,53.887
HUN,2015,0.3685721457004547,12782.941257797267,9797755.0,91260.0,70.5
POL,2015,0.767132043838501,12637.522032440616,37986412.0,306190.0,60.278
IRL,2015,0.3506112694740295,64311.82346840575,4701957.0,68890.0,62.538
GRC,2015,0.2197096496820449,17980.72982381374,10820883.0,128900.0,78.046
ZMB,2015,0.0171254519373178,1295.877886800678,16399089.0,743390.0,41.907
SLE,2015,0.0054785874672234,964.5759808889884,7037655.0,72180.0,40.829
GIN,2015,0.0048292381688952,747.3569667594476,11767070.0,245720.0,35.141
LBR,2015,0.0025346272159367,692.590082351257,4659431.0,96320.0,49.82
CAF,2015,0.000197350673261,366.3228539381206,4629320.0,622980.0,40.277
SDN,2015,0.0142411272972822,1292.37963867188,40024431.0,1868000.0,33.894
DJI,2015,0.0351293943822383,2376.1255471987265,1020313.0,23180.0,77.417
ERI,2015,0.0012442297302186,,3105546.0,121088.775,38.206
AUT,2015,0.2919971346855163,43915.22802085699,8642699.0,82520.0,57.715
IRQ,2015,1.2401474714279177,4440.141892523674,37560535.0,434128.0,69.921
ITA,2015,0.6807764172554016,30639.882975143213,60229605.0,295718.0,69.565
CHE,2015,0.5980926156044006,83806.44760038373,8282396.0,39510.23,73.718
IRN,2015,0.3854545354843139,4952.733555321775,82619362.0,1628760.0,73.358
CIV,2015,0.0564043708145618,1814.7185508801676,25246342.0,318000.0,49.444
MLI,2015,0.0020678243599832,838.1198694010295,18593022.0,1220190.0,39.991
SEN,2015,0.0247277356684207,1218.0061355543774,14593331.0,192530.0,45.862
NGA,2015,0.1442354023456573,2585.733606717974,190671878.0,910770.0,47.838
BEN,2015,0.0149773806333541,1002.4188687961384,11360681.0,112760.0,45.695
AGO,2015,0.0206329803913831,3213.902610800591,28157798.0,1246700.0,63.446
HRV,2015,0.2501917779445648,12285.303258210532,4151725.0,55964.0,56.155
QAT,2015,9.053214073181152,68985.29469615073,2344557.0,11490.0,98.945
SAU,2015,0.4140312075614929,23256.154955353068,29816382.0,2149690.0,83.18
BWA,2015,0.0096797319129109,6141.203947266163,2203273.0,566730.0,67.155
ZWE,2015,0.0184545964002609,1386.4185592757474,14399013.0,386850.0,32.385
BGR,2015,0.2657233774662018,7268.654454738727,6984225.0,108560.0,73.99
TCD,2015,0.0046383617445826,993.9907306108692,14647621.0,1259200.0,22.515
KWT,2015,4.821758270263672,29882.212686706844,3834574.0,17820.0,100.0
DZA,2015,0.1735885292291641,4685.059027290017,40019529.0,2381741.0,70.848
MOZ,2015,0.0092670917510986,610.5637747065892,26547572.0,786380.0,34.4
SWZ,2015,0.166466549038887,3420.753570672789,1142813.0,17200.0,23.3
BDI,2015,0.0090737342834472,280.9668313119229,11047580.0,25680.0,12.078
RWA,2015,0.0559639111161232,733.9986303923145,11640022.0,24670.0,17.004
UGA,2015,0.0141154332086443,862.9346103558107,37531446.0,200520.0,22.06
PRT,2015,0.0693453997373581,19215.781301434683,10358076.0,91605.6,63.514
JOR,2015,0.3282663524150848,4042.756780975546,9544729.0,88780.0,90.256
LSO,2015,0.0330337882041931,1121.1985134251822,2104611.0,30360.0,26.908
CMR,2015,0.0070021748542785,1415.0000971056854,22763414.0,472710.0,54.578
GAB,2015,0.0308703426271677,7047.126546343554,2040989.0,257670.0,88.118
NER,2015,0.0018660831265151,485.6625741752788,19939498.0,1266700.0,16.247
BFA,2015,0.0108734108507633,630.124750752312,18777487.0,273600.0,27.53
TGO,2015,0.0310571920126676,751.0524050843359,7663195.0,54390.0,40.1
GHA,2015,0.0915993228554725,1722.7728283360616,28696068.0,227540.0,54.086
GNB,2015,0.0032758719753473,645.0668372070388,1786457.0,28120.0,42.123
EGY,2015,0.4782735407352447,3306.981594141408,99597342.0,995450.0,42.785
YEM,2015,0.0320164002478122,1362.1738120559298,31159379.0,527970.0,34.777
MRT,2015,0.0020850414875894,1554.9489787178247,3965959.0,1030700.0,51.089
GNQ,2015,0.0102489376440644,9068.910032386446,1453923.0,28050.0,70.616
GMB,2015,0.0269355848431587,619.5363642964605,2224529.0,10120.0,59.228
MDG,2015,0.0020667049102485,445.3200694805676,25426702.0,581800.0,35.193
MUS,2015,0.003929438535124,9507.871336564236,1262879.0,1997.0,41.0
COM,2015,0.0028949023690074,1329.3704808997995,726682.0,1861.0,28.47
BHR,2015,10.1792631149292,23734.05511430191,1370322.0,778.0,88.999
LBN,2016,1.508968710899353,8089.012088155,6323060.0,10230.0,88.266
ETH,2016,0.0059537384659051,696.1960848063238,106718162.0,1128558.5,19.866
SOM,2016,0.0003665262775029,460.928490585175,14348740.0,627340.0,43.816
KEN,2016,0.0225362218916416,1554.1261031442327,48139687.0,573052.1,26.105
MWI,2016,0.0168031193315982,450.5061055107186,17557739.0,94280.0,16.506
TZA,2016,0.0096513992175459,953.0107421875,53824013.0,885800.0,32.333
