country,year,land_area
MUS,2022,1997.0
MWI,2022,94280.0
NAM,2022,823290.0
NER,2022,1266700.0
NGA,2022,910770.0
NLD,2022,33670.0
NOR,2022,364270.0
OMN,2022,309500.0
POL,2022,306090.0
PRT,2022,91605.6
QAT,2022,11490.0
ROU,2022,230080.0
RWA,2022,24670.0
SAU,2022,2149690.0
SDN,2022,1868000.0
SEN,2022,192530.0
SLE,2022,72180.0
SOM,2022,627340.0
SSD,2022,631930.0
SWE,2022,407280.0
SWZ,2022,17200.0
SYR,2022,183630.0
TCD,2022,1259200.0
TGO,2022,54390.0
TUN,2022,155360.0
TUR,2022,769630.0
TZA,2022,885800.0
UGA,2022,200520.0
YEM,2022,527970.0
ZAF,2022,1213090.0
ZMB,2022,743390.0
ZWE,2022,386850.0
AGO,2023,1246700.0
ALB,2023,27400.0
ARE,2023,71020.0
ARM,2023,28199.44
AUT,2023,82520.0
BDI,2023,25680.0
BEL,2023,30494.0
BEN,2023,112760.0
BFA,2023,273600.0
BGR,2023,108560.0
BHR,2023,800.0
BWA,2023,566730.0
CAF,2023,622980.0
CHE,2023,39509.63
CIV,2023,318000.0
CMR,2023,472710.0
COD,2023,2267050.0
COG,2023,341500.0
COM,2023,1861.0
CZE,2023,77167.31
DEU,2023,349430.0
DJI,2023,23180.0
DNK,2023,40000.0
DZA,2023,2381740.0
EGY,2023,995450.0
ERI,2023,121178.2
ESP,2023,499697.4
EST,2023,42730.0
ETH,2023,1128498.8
FIN,2023,303960.0
FRA,2023,538950.0
GAB,2023,257670.0
GBR,2023,241930.0
GHA,2023,227533.0
GIN,2023,245720.0
GMB,2023,10120.0
GNB,2023,28120.0
GNQ,2023,28050.0
GRC,2023,128900.0
HRV,2023,55960.0
HUN,2023,91260.0
IRL,2023,68890.0
IRN,2023,1622500.0
IRQ,2023,434130.0
ITA,2023,295720.0
JOR,2023,88794.0
KEN,2023,580876.3
KWT,2023,17820.0
LBN,2023,10230.0
LBR,2023,96320.0
LBY,2023,1759540.0
LSO,2023,30360.0
LTU,2023,62600.0
LVA,2023,62230.0
MAR,2023,446300.0
MDG,2023,581800.0
MLI,2023,1220190.0
MOZ,2023,786380.0
MRT,2023,1030700.0
MUS,2023,1997.0
MWI,2023,94280.0
NAM,2023,823290.0
NER,2023,1266700.0
NGA,2023,910770.0
NLD,2023,33670.0
NOR,2023,364270.0
OMN,2023,309500.0
POL,2023,306270.0
PRT,2023,91605.6
QAT,2023,11490.0
ROU,2023,230080.0
RWA,2023,24670.0
SAU,2023,2149690.0
SDN,2023,1868000.0
SEN,2023,192530.0
SLE,2023,72180.0
SOM,2023,627340.0
SSD,2023,631930.0
SWE,2023,407270.0
SWZ,2023,17200.0
SYR,2023,183630.0
TCD,2023,1259200.0
TGO,2023,54390.0
TUN,2023,155360.0
TUR,2023,769630.0
TZA,2023,885800.0
UGA,2023,200520.0
YEM,2023,527970.0
ZAF,2023,1213090.0
ZMB,2023,743390.0
ZWE,2023,386850.0
