country,year,urban_pop_rate
GBR,2022,84.398
GHA,2022,58.615
GIN,2022,37.668
GMB,2022,63.852
GNB,2022,45.041
GNQ,2022,74.01
GRC,2022,80.357
HRV,2022,58.219
HUN,2022,72.552
IDN,2022,57.934
IND,2022,35.872
IRL,2022,64.183
IRN,2022,76.807
IRQ,2022,71.354
ITA,2022,71.657
JOR,2022,91.827
JPN,2022,91.955
KAZ,2022,57.99
KEN,2022,29.002
KGZ,2022,37.461
KHM,2022,25.114
KOR,2022,81.427
KWT,2022,100.0
LAO,2022,37.592
LBN,2022,89.262
LBR,2022,53.065
LBY,2022,81.302
LKA,2022,19.026
LSO,2022,29.943
LTU,2022,68.465
LVA,2022,68.54
MAR,2022,64.596
MDG,2022,39.882
MLI,2022,45.437
MMR,2022,31.771
MNG,2022,68.93
MOZ,2022,38.187
MRT,2022,56.923
MUS,2022,40.81
MWI,2022,17.98
MYS,2022,78.214
NAM,2022,53.956
NER,2022,16.894
NGA,2022,53.521
NLD,2022,92.886
NOR,2022,83.664
NPL,2022,21.451
OMN,2022,87.75
PAK,2022,37.731
PHL,2022,47.977
POL,2022,60.134
PRT,2022,67.381
QAT,2022,99.318
ROU,2022,54.489
RWA,2022,17.721
SAU,2022,84.729
SDN,2022,35.956
SEN,2022,49.086
SGP,2022,100.0
SLE,2022,43.831
SOM,2022,47.324
SSD,2022,20.846
SWE,2022,88.492
SWZ,2022,24.576
SYR,2022,56.769
TCD,2022,24.063
TGO,2022,43.921
THA,2022,52.889
TJK,2022,27.968
TKM,2022,53.494
TUN,2022,70.214
TUR,2022,77.022
TZA,2022,36.682
UGA,2022,26.159
UZB,2022,50.466
VNM,2022,38.766
YEM,2022,39.188
ZAF,2022,68.335
ZMB,2022,45.761
ZWE,2022,32.395
